di_1D2D[0],di_1D2D[1],di_1Dur[0],di_1Dur[1],di_1KeyLat[0],di_1KeyLat[1],di_2Dur[0],di_2Dur[1],di_Dur[0],di_Dur[1],di_NumEvents[0],di_NumEvents[1],tri_1D2D[0],tri_1D2D[1],tri_1Dur[0],tri_1Dur[1],tri_1KeyLat[0],tri_1KeyLat[1],tri_2D3D[0],tri_2D3D[1],tri_2Dur[0],tri_2Dur[1],tri_2KeyLat[0],tri_2KeyLat[1],tri_3Dur[0],tri_3Dur[1],tri_Dur[0],tri_Dur[1],tri_NumEvents[0],tri_NumEvents[1],SPACE,BCKSPACE,DEL,UP,DOWN,LEFT,RIGHT,SHIFT_L,SHIFT_R,L_di_1D2D[0],L_di_1D2D[1],L_di_Dur[0],L_di_Dur[1],L_first_shift_up,R_di_1D2D[0],R_di_1D2D[1],R_di_Dur[0],R_di_Dur[1],R_first_shift_up,CAPS,SPEED
0.224906,0.271642,0.0799574,0.0494547,0.144948,0.2753,0.078677,0.0434517,0.303583,0.276422,4.21346,0.544881,0.222936,0.267684,0.0799272,0.0496102,0.143009,0.27142,0.224853,0.272401,0.0787465,0.0436988,0.146106,0.276531,0.0786125,0.0437042,0.526401,0.396891,6.21657,0.548228,0.118939,0.0768527,0.0,0.000457457,0.000457457,0.0,0.000457457,0.0,0.0073193,0.0,0.0,0.0,0.0,0.0,0.187715,0.165516,0.275092,0.157897,0.5625,0.0115702,4.48905
0.215786,0.242698,0.0781262,0.0292779,0.13766,0.248262,0.0773238,0.0270623,0.29311,0.242268,4.1706,0.450778,0.215529,0.243147,0.0781257,0.0291822,0.137404,0.248817,0.216196,0.243703,0.077345,0.0271291,0.138851,0.248937,0.0772544,0.0271287,0.50898,0.347794,6.17216,0.45254,0.118705,0.0791367,0.0,0.00179856,0.00179856,0.0,0.00179856,0.0,0.00719424,0.0,0.0,0.0,0.0,0.0,0.135591,0.0735974,0.229986,0.065601,1.0,0.00952381,4.66156
0.230157,0.273633,0.0815991,0.0550838,0.148558,0.266266,0.0811208,0.0546285,0.311278,0.288684,4.19809,0.499543,0.230526,0.274501,0.0815637,0.0551502,0.148963,0.267126,0.230783,0.274486,0.0811943,0.0547685,0.149589,0.26684,0.0810767,0.0548205,0.542386,0.417368,6.19952,0.501056,0.125592,0.0734597,0.0,0.0,0.0,0.0,0.0,0.0,0.007109,0.0,0.0,0.0,0.0,0.0,0.226375,0.105091,0.300491,0.0860671,0.0,0.012605,4.36634
0.241867,0.313158,0.0793132,0.0594437,0.162554,0.318711,0.076817,0.0437365,0.318684,0.315914,4.22571,0.5824,0.235892,0.300209,0.0794519,0.0597489,0.15644,0.305889,0.239884,0.312327,0.0768675,0.0439637,0.163017,0.319567,0.0768282,0.0439505,0.552604,0.452192,6.22844,0.585381,0.115214,0.0960118,0.0,0.0,0.0,0.0,0.0,0.0,0.00590842,0.0,0.0,0.0,0.0,0.0,0.267408,0.283302,0.354929,0.270238,0.5,0.0106952,4.16897
0.195894,0.196212,0.0809006,0.0482994,0.114993,0.207541,0.0802954,0.0477501,0.276189,0.20104,4.26531,0.62517,0.196134,0.196919,0.0808609,0.0481604,0.115273,0.20811,0.196271,0.196954,0.0804482,0.0479059,0.115823,0.208021,0.0802818,0.0479156,0.472687,0.275194,6.26749,0.627272,0.12753,0.0546559,0.0,0.0,0.0,0.0,0.0,0.0,0.0101215,0.0,0.0,0.0,0.0,0.0,0.142465,0.0479474,0.232067,0.0671229,0.6,0.0141343,5.13327
0.199788,0.27267,0.110275,0.0610778,0.0895124,0.27414,0.108376,0.0541464,0.308164,0.281327,4.33027,0.630403,0.198809,0.272897,0.110176,0.0578117,0.0886331,0.275113,0.199238,0.273139,0.108689,0.0546026,0.0905498,0.275702,0.108554,0.0546016,0.506601,0.416516,6.33758,0.634997,0.125988,0.0453347,0.0,0.0,0.0,0.0,0.0,0.0,0.00632578,0.0,0.0,0.0,0.0,0.0,0.138955,0.0462012,0.227637,0.0547255,0.166667,0.0113529,5.07028
0.198165,0.210032,0.117122,0.0634196,0.0810437,0.22151,0.11664,0.0629433,0.314805,0.217834,4.35358,0.708435,0.19689,0.204911,0.117278,0.0632762,0.0796117,0.216449,0.19817,0.210579,0.116551,0.0636081,0.0816186,0.221918,0.117298,0.0635006,0.512358,0.305246,6.36222,0.714855,0.122622,0.0465116,0.0,0.0,0.0,0.0,0.0,0.0,0.00634249,0.0,0.0,0.0,0.0,0.0,0.130925,0.0380378,0.212342,0.0336849,0.0,0.0117647,5.09758
0.208836,0.325826,0.109536,0.0572994,0.0992995,0.324076,0.106819,0.0442197,0.315655,0.332582,4.32536,0.633497,0.210258,0.328355,0.109494,0.0573404,0.100764,0.326493,0.207484,0.326488,0.107017,0.0444478,0.100468,0.326449,0.107018,0.0444822,0.524761,0.49001,6.3309,0.637432,0.129412,0.0494118,0.0,0.0,0.0,0.0,0.0,0.0,0.00705882,0.0,0.0,0.0,0.0,0.0,0.135905,0.026212,0.231754,0.0175577,0.333333,0.0113208,4.83176
0.199466,0.286319,0.111,0.0609832,0.0884657,0.287028,0.106834,0.0410668,0.3063,0.285033,4.31409,0.587169,0.197724,0.286212,0.109857,0.0443858,0.0878673,0.290408,0.199397,0.286784,0.107362,0.0412673,0.0920353,0.290458,0.106661,0.0413582,0.503782,0.405194,6.32381,0.59354,0.130045,0.029148,0.0,0.0,0.0,0.0,0.0,0.0,0.00672646,0.0,0.0,0.0,0.0,0.0,0.174407,0.0578757,0.282681,0.0690997,0.0,0.0119048,5.09507
0.178958,0.243562,0.104706,0.0625805,0.0742519,0.241037,0.104437,0.0623192,0.283395,0.266446,4.34442,0.599056,0.179518,0.244672,0.104813,0.0628409,0.0747054,0.242144,0.177725,0.241228,0.104525,0.0625886,0.0732,0.238592,0.104274,0.06237,0.461518,0.410309,6.34387,0.596707,0.131783,0.0562016,0.0,0.0,0.0,0.0,0.0,0.0,0.00581395,0.0,0.0,0.0,0.0,0.0,0.114582,0.033615,0.183773,0.0236019,0.333333,0.0105263,5.61326
0.20811,0.276053,0.104122,0.10433,0.103988,0.270504,0.1026,0.0990737,0.31071,0.305812,4.34492,0.748222,0.207444,0.275419,0.104175,0.104498,0.103269,0.269882,0.20686,0.274172,0.102649,0.0992133,0.104211,0.269843,0.102437,0.098362,0.516741,0.437725,6.34582,0.748596,0.096845,0.163512,0.0,0.0,0.0,0.00109739,0.00192044,0.0186557,0.0,0.530133,0.619328,0.695997,0.747304,0.368421,0.0,0.0,0.0,0.0,0.0,0.0174959,4.82036
0.204774,0.256483,0.100466,0.0737093,0.104308,0.260233,0.0976899,0.0571148,0.302464,0.265678,4.31897,0.670809,0.204582,0.257172,0.100488,0.0738993,0.104094,0.260894,0.20333,0.255237,0.0975713,0.0565637,0.105759,0.260237,0.0974648,0.0568726,0.505377,0.387773,6.31647,0.664644,0.08,0.157143,0.0,0.0,0.0,0.0,0.0,0.0157143,0.0,0.273204,0.289344,0.430258,0.303524,0.333333,0.0,0.0,0.0,0.0,0.0,0.0107527,4.89526
0.251727,0.38465,0.111221,0.153055,0.140506,0.34872,0.110037,0.150512,0.361764,0.452952,4.3012,0.622244,0.250175,0.384289,0.111006,0.153159,0.139169,0.348649,0.251185,0.385458,0.109767,0.150764,0.141417,0.349387,0.110271,0.150937,0.61163,0.664296,6.30303,0.623683,0.0938124,0.157685,0.0,0.0,0.0,0.0,0.0,0.0339321,0.0,0.990338,0.869248,1.24398,1.017,0.5,0.0,0.0,0.0,0.0,0.0,0.0185185,3.98176
0.196095,0.23645,0.0988917,0.0802637,0.097203,0.239431,0.0978267,0.0755097,0.293921,0.24873,4.34938,0.729319,0.194602,0.232217,0.0989383,0.0803443,0.0956639,0.235229,0.195451,0.235662,0.0979148,0.0755658,0.0975366,0.239596,0.0978594,0.0755848,0.487913,0.34698,6.35017,0.729949,0.109497,0.158659,0.0,0.0,0.0,0.0,0.0,0.0122905,0.0,0.321963,0.345603,0.397386,0.360394,0.545455,0.0,0.0,0.0,0.0,0.0,0.0178571,5.10758
